subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,interdms,loc_ABAB,01,13110103.0,46,"[1.2263964414596558, 0.9605767130851746, -0.22858589887619019, -0.5935320258140564]",4
sub-01,interdms,loc_ABAB,01,3020203.0,46,"[-0.4792915880680084, 1.3870623111724854, -0.272469699382782, -0.8090510964393616]",4
sub-01,interdms,loc_ABAB,01,130110.0,46,"[1.1427735090255737, -0.3609897792339325, -1.2990978956222534, -1.5826811790466309]",4
sub-01,interdms,loc_ABAB,01,001310.0,46,"[-0.015068002045154572, 0.3894607722759247, -0.49894487857818604, -0.46636348962783813]",4
sub-01,interdms,loc_ABAB,01,121211.0,46,"[0.6812122464179993, 0.6830015778541565, -1.2434295415878296, -1.2500661611557007]",4
sub-01,interdms,loc_ABAB,01,11021200.0,46,"[0.011197967454791069, 0.9317558407783508, -0.18598626554012299, -0.017734261229634285]",4
sub-01,interdms,loc_ABAB,01,3110211.0,46,"[0.2514481544494629, -0.04298999533057213, -0.9479719996452332, -0.9327414035797119]",4
sub-01,ctxdm,lco,01,101303.0,46,"[1.1180082559585571, 0.498180091381073, 0.4802400767803192]",4
sub-01,ctxdm,lco,01,30113.0,46,"[0.004411502741277218, -0.4586043655872345, -0.47952884435653687]",4
sub-01,ctxdm,lco,01,120211.0,46,"[0.6186227202415466, 0.024930957704782486, -0.008656292222440243]",4
sub-01,ctxdm,lco,01,100212.0,46,"[0.5924422144889832, 0.4869886040687561, 0.6077721118927002]",4
sub-01,ctxdm,lco,01,101213.0,46,"[0.6838585138320923, -0.4759403169155121, -0.41324582695961]",1
sub-01,ctxdm,lco,01,1003.0,46,"[-0.32865390181541443, -0.31978899240493774, -0.6030734777450562]",1
sub-01,ctxdm,lco,01,10013.0,46,"[1.046695351600647, 0.6191926598548889, 0.4119795858860016]",4
sub-01,ctxdm,lco,01,120002.0,46,"[1.4667727947235107, 0.7803160548210144, 0.6744040250778198]",4
sub-01,ctxdm,lco,01,0001.0,46,"[0.9709451794624329, 0.13514888286590576, 0.4369695782661438]",4
sub-01,ctxdm,lco,01,31213.0,46,"[0.019801491871476173, -0.6183223724365234, -0.8704862594604492]",4
sub-01,ctxdm,lco,01,11101.0,46,"[-0.1231231838464737, -1.3854100704193115, -1.0542243719100952]",1
sub-01,ctxdm,lco,01,110201.0,46,"[0.07229296118021011, -1.0274150371551514, -0.7829415202140808]",1
sub-01,ctxdm,lco,01,30102.0,46,"[0.4103787839412689, 0.15230466425418854, -0.15866297483444214]",4
sub-01,ctxdm,lco,01,30002.0,46,"[1.1924773454666138, 1.1953617334365845, 1.3261640071868896]",3
sub-01,ctxdm,lco,01,110100.0,46,"[0.5742524862289429, -0.007872162386775017, 0.3077819347381592]",3
sub-01,ctxdm,lco,01,111013.0,46,"[1.3936903476715088, 1.040488839149475, 1.015561580657959]",3
sub-01,ctxdm,lco,01,31002.0,46,"[0.6888373494148254, 0.8325199484825134, 0.9210061430931091]",3
